day,time_window,probability,avg_distance,sample_size
Monday,09:30-10:30,6.4,0.3,47
Monday,10:30-11:30,4.3,0.0,47
Monday,11:30-12:30,6.4,7.0,47
Monday,12:30-13:30,10.6,4.3,47
Monday,13:30-14:30,2.1,0.5,47
Monday,14:30-15:30,6.4,15.7,47
Monday,15:30-16:00,0.0,0.0,47
Tuesday,09:30-10:30,2.3,3.1,44
Tuesday,10:30-11:30,4.5,4.2,44
Tuesday,11:30-12:30,2.3,18.9,44
Tuesday,12:30-13:30,6.8,14.1,44
Tuesday,13:30-14:30,2.3,3.3,44
Tuesday,14:30-15:30,9.1,26.5,44
Tuesday,15:30-16:00,2.3,24.0,44
Wednesday,09:30-10:30,9.1,1.8,44
Wednesday,10:30-11:30,4.5,10.2,44
Wednesday,11:30-12:30,11.4,4.4,44
Wednesday,12:30-13:30,9.1,6.6,44
Wednesday,13:30-14:30,6.8,12.3,44
Wednesday,14:30-15:30,9.1,20.0,44
Wednesday,15:30-16:00,2.3,1.0,44
Thursday,09:30-10:30,6.7,0.9,45
Thursday,10:30-11:30,6.7,2.7,45
Thursday,11:30-12:30,8.9,4.0,45
Thursday,12:30-13:30,17.8,7.0,45
Thursday,13:30-14:30,13.3,17.4,45
Thursday,14:30-15:30,0.0,0.0,45
Thursday,15:30-16:00,2.2,33.7,45
Friday,09:30-10:30,0.0,0.0,45
Friday,10:30-11:30,2.2,16.9,45
Friday,11:30-12:30,4.4,4.5,45
Friday,12:30-13:30,8.9,12.6,45
Friday,13:30-14:30,17.8,8.3,45
Friday,14:30-15:30,6.7,18.1,45
Friday,15:30-16:00,2.2,17.3,45
